node1,node2,weight
7511,94500,2
7511,330190,9
7872,466111,6
8022,139327,1
8022,181418,2
8022,219710,4
8022,476514,2
8022,514205,1
8022,677942,1
8022,868574,3
8133,72552,1
8133,345331,2
8133,474410,1
8133,804722,1
8692,64925,1
8692,100492,1
8692,113583,6
8692,323212,2
8692,325714,3
8692,385218,3
8692,425121,2
8692,425446,2
8692,753897,3
8692,801369,1
8692,828225,21
8692,861305,3
8692,883110,3
8692,928336,3
8692,1098477,2
8692,1224248,1
8692,1249725,3
8692,1276649,2
8692,1334535,2
8692,1457353,1
8692,1526889,2
8696,73539,1
8696,201286,1
8696,242420,1
8696,510836,2
8696,625487,3
8696,877313,1
8696,1372958,1
8718,72552,2
8718,84841,1
8718,90453,2
8718,103864,1
8718,176344,24
8718,219352,2
8718,229877,2
8718,247140,3
8718,265413,1
8718,279368,1
8718,554444,1
8718,555420,1
8718,644928,1
8718,706355,1
8718,805491,1
8718,995598,1
8718,1064617,1
8718,1081805,2
8718,1189880,1
8718,1434254,3
8718,1553129,2
8759,302738,2
8759,1486027,1
8772,221277,1
8772,423746,2
8772,522348,3
8772,522655,1
8772,551517,2
8772,689620,3
8772,725147,1
8772,725493,2
8772,897348,1
8772,1008039,1
8772,1309644,2
8772,1354387,2
8772,1409740,1
8772,1504347,3
9106,912119,4
9106,1152664,1
9218,5738,2
9218,6288,16
9218,19845,9
9218,30338,1
9218,62237,1
9218,88371,11
9218,88757,2
9218,113825,6
9218,122259,2
9218,191426,2
9218,211367,2
9218,211956,1
9218,247517,2
9218,265690,1
9218,269303,1
9218,276316,2
9218,288856,2
9218,333811,2
9218,348620,2
9218,378685,1
9218,394567,9
9218,408227,1
9218,422918,3
9218,435042,4
9218,450691,3
9218,451032,3
9218,453089,1
9218,457073,3
9218,463792,1
9218,471865,4
9218,509360,3
9218,566064,2
9218,570348,1
9218,574836,4
9218,577168,2
9218,610222,2
9218,617591,10
9218,644225,2
9218,649626,1
9218,650556,2
9218,654815,4
9218,681715,4
9218,695864,2
9218,704870,2
9218,719200,1
9218,726305,2
9218,762585,2
9218,772622,1
9218,788370,2
9218,793206,1
9218,825565,2
9218,853856,1
9218,858189,2
9218,859848,2
9218,867304,1
9218,894343,8
9218,896597,7
9218,912929,2
9218,916025,1
9218,929993,2
9218,939395,4
9218,949997,6
9218,951547,2
9218,952991,2
9218,963499,2
9218,965196,2
9218,965981,1
9218,969132,1
9218,980459,1
9218,983292,10
9218,997648,1
9218,1003887,1
9218,1016432,1
9218,1022971,1
9218,1031707,2
9218,1054749,4
9218,1056033,2
9218,1061591,2
9218,1067123,1
9218,1077378,6
9218,1089785,1
9218,1102087,2
9218,1114526,2
9218,1123723,2
9218,1144898,1
9218,1153376,3
9218,1156709,2
9218,1156818,2
9218,1183297,2
9218,1189471,2
9218,1201920,2
9218,1205191,2
9218,1210344,5
9218,1264937,1
9218,1282055,2
9218,1284061,4
9218,1307154,2
9218,1318335,1
9218,1336126,8
9218,1336732,3
9218,1345798,4
9218,1346514,8
9218,1364549,1
9218,1376363,1
9218,1379398,2
9218,1425976,2
9218,1432031,9
9218,1434743,3
9218,1435652,1
9218,1465186,2
9218,1473942,2
9218,1488582,1
9218,1494674,2
9218,1496427,15
9218,1508488,2
9218,1510826,3
9218,1514351,1
9218,1525716,1
9218,1536310,2
9218,1556986,1
9218,1580526,2
9218,1582719,3
9218,1582871,2
9664,274953,27
9952,108956,1
9952,592776,1
9976,170873,4
9976,254834,1
9976,393399,1
9976,721690,2
10152,257250,7
10152,416771,10
10152,675367,1
10152,824054,1
10152,865481,13
10152,874903,1
10152,1182355,2
10152,1191476,2
10169,949308,1
10527,674589,10
10527,1053225,2
10527,1422847,1
10708,424017,1
10749,1456957,1
12345,6288,2
12345,30338,2
12345,62237,1
12345,150264,2
12345,348620,2
12345,378685,3
12345,379958,1
12345,385167,3
12345,463792,4
12345,566064,3
12345,577168,2
12345,584958,1
12345,726305,4
12345,912929,3
12345,939395,5
12345,952991,4
12345,1067123,2
12345,1087541,4
12345,1110072,7
12345,1168101,1
12345,1336732,2
12345,1362514,2
12345,1435652,5
12345,1496427,4
12345,1508488,3
12345,1528338,1
12345,1533887,1
12345,1536310,5
12345,1539134,1
12345,1544337,16
12345,1556398,4
12345,1573672,1
12345,1580526,2
12677,236788,1
12677,950224,1
12677,1259990,1
12677,1441594,1
12677,1473133,1
12750,86283,2
12775,230221,1
12983,852591,1
13238,1127473,3
13238,1343674,1
13270,1482691,1
13475,242972,2
13475,256578,1
13656,163156,2
13656,499084,9
13656,500634,2
13656,540849,1
13656,1223360,4
13681,492740,2
13927,36179,1
13927,258653,1
13927,359796,1
13927,406608,1
13927,1155837,1
13927,1308299,1
13927,1462713,1
14088,10169,2
14088,601677,2
14088,672406,1
14088,896055,1
14088,1462759,2
14448,214629,3
14448,697949,9
14448,992595,1
14448,1102087,1
14448,1194469,1
14448,1437461,2
14624,514627,1
14704,39507,1
14704,85173,4
14704,535242,1
14704,613057,13
14704,854232,2
14704,1089795,1
14704,1226956,3
14704,1246007,6
14704,1262629,1
15227,390983,2
15227,1227617,1
15545,31414,1
15545,87951,1
15545,149780,2
15545,397057,1
15545,615709,3
15545,1557910,2
15726,522655,5
15726,813199,1
15726,1008039,2
15761,349986,2
15761,590090,11
15761,804016,17
15761,1542498,15
15893,28352,6
15893,108956,1
15893,587258,3
15893,742089,2
15893,1020517,1
15893,1201905,2
15893,1293357,2
16015,806300,1
16025,152198,1
16025,852853,2
16025,1072498,3
16043,1164742,2
16048,130248,2
16048,176110,1
16048,277159,5
16048,661021,2
16048,1043619,5
16048,1119025,1
16048,1309644,2
16178,110956,1
16178,727661,1
16598,520702,2
16598,1076189,6
16598,1562667,3
16707,379882,1
16842,408227,1
16842,894343,2
16842,1142887,5
16842,1210344,1
16842,1262802,1
16954,699212,1
16954,802252,1
16954,963571,2
16954,1333667,1
17213,897285,1
17279,17279,1
17279,25477,4
17279,1144465,1
17279,1235084,35
17279,1480567,8
17492,421193,1
17492,506846,1
17492,1388166,1
17492,1469630,1
17595,202215,3
17595,633633,3
17595,1146400,1
17595,1164742,1
17677,26273,2
17677,796325,2
17677,822288,1
17677,1238891,1
17907,81659,2
17907,82746,1
18042,1109669,1
18181,1532125,2
18426,422239,2
18750,1321407,2
18830,132519,1
18830,148076,2
18830,237358,1
18830,419142,10
18830,863520,1
19317,50009,1
19317,751278,1
19317,948949,1
19317,1226719,1
19317,1270292,1
19317,1419523,1
19575,345331,1
19575,1304790,1
19575,1434254,1
19845,9218,6
19931,671530,1
19931,676682,1
19931,1340481,1
20254,150665,1
20254,1210461,1
20580,310170,15
20978,536204,1
20978,1142834,5
21094,168751,2
21094,256512,7
21094,650652,4
21094,736356,1
21094,759283,1
21139,446751,1
21139,885768,1
21317,310596,2
21317,562118,16
21317,685980,7
21317,744400,6
21543,1011912,2
21835,794264,2
22053,610611,1
22306,615678,1
22306,913853,2
22867,474663,2
23189,958115,8
23397,337994,6
23397,586592,1
23397,847345,1
23665,6288,1
23665,229569,1
23665,389694,3
23665,450691,2
23665,674589,3
23665,1210344,1
23665,1536310,1
23707,595907,9
23746,197470,1
23746,1365441,9
23746,1440864,1
23931,113583,1
23931,330190,1
23931,1200769,1
23931,1448435,2
24125,400472,1
24125,588630,1
24125,629187,1
24125,1047135,2
24125,1392727,12
24247,158016,1
24247,188938,1
24247,207389,2
24247,528681,1
24247,1137540,3
24660,1403307,5
24791,155250,1
24791,1543217,6
24954,177433,4
24954,797963,4
24954,1073027,5
24954,1431872,12
25010,529890,1
25010,804950,1
25010,1581363,1
25059,485317,1
25059,574834,1
25059,1159397,13
25059,1173396,3
25191,1274500,1
25191,1276175,2
25249,801274,4
25284,162353,3
25284,664193,2
25284,950768,7
25284,1073773,2
25284,1562641,3
25477,17279,5
25477,86968,1
25477,173055,2
25477,985396,2
25477,1270292,3
25477,1495132,7
25611,192726,1
25769,336808,1
25769,1214443,1
25769,1280763,1
25769,1308691,1
25769,1510761,1
25769,1570798,1
25949,579086,13
25949,1292620,1
26002,890366,3
26081,252190,1
26273,17677,4
26273,94455,5
26273,128420,1
26273,289408,5
26273,297078,1
26273,465115,2
26273,509919,1
26273,511470,4
26273,512610,1
26273,530989,1
26273,560893,1
26273,686859,1
26273,713426,1
26273,782618,2
26273,796325,1
26273,826810,1
26273,830933,1
26273,867832,1
26273,1057808,2
26273,1084189,1
26273,1191623,1
26273,1217335,1
26273,1238891,5
26273,1345990,1
26273,1349636,1
26273,1446346,1
26273,1550169,1
26452,251668,1
26452,519179,1
26452,552131,2
26531,929993,1
26531,1042645,1
26531,1475615,1
26929,397374,1
26929,429143,7
26929,1099040,1
26929,1414166,22
26929,1522729,3
26929,1544257,1
26929,1559535,4
26998,420505,3
27172,27172,1
27172,1257278,4
27273,1047893,2
27799,959217,3
27843,254385,6
27843,1127473,1
27843,1218207,1
27843,1235071,3
27843,1370519,9
27872,1134206,3
28022,398738,1
28024,1091927,4
28026,221586,2
28026,1250289,1
28236,114310,1
28236,167891,6
28236,493175,8
28236,505627,1
28236,579655,2
28236,797155,1
28236,970910,1
28236,1517016,1
28352,15893,10
28352,1293357,1
28352,1386523,1
28352,1416291,2
28527,1135355,7
28537,759721,3
28548,496113,2
28811,270433,1
28811,684389,4
28813,160655,1
28813,712971,1
28813,933728,1
28813,975325,1
28813,1003317,2
28813,1225392,8
28883,463264,2
28883,1110743,1
28883,1177164,1
28883,1236955,1
28883,1462160,1
29270,1720,6
29628,799381,1
29628,972050,1
30198,738263,2
30198,808704,5
30338,12345,1
30338,110907,1
30338,269846,1
30338,408227,1
30338,450691,2
30338,933638,4
30338,939395,1
30338,1114526,2
30338,1168101,1
30338,1210344,2
30338,1336126,2
30338,1580526,2
30475,13656,1
30475,65086,2
30475,175755,4
30475,499084,1
30475,500634,4
30475,618303,5
30475,627415,2
30475,699875,3
30475,1223360,4
30790,1325055,1
30865,1351763,19
30984,40909,4
30984,564413,1
30984,1165986,2
30984,1269852,1
31149,236269,6
31149,1031707,1
31149,1358745,1
31149,1393144,1
31414,15545,1
31414,201829,2
31414,791609,2
31509,86283,1
31509,768566,1
31509,991541,1
31509,1373965,6
31531,98356,3
31566,31566,1
31566,288856,2
31566,825565,1
31566,1284061,5
31566,1508488,1
31715,644631,1
31875,594551,3
32052,472855,1
32052,1330916,1
32124,90453,1
32124,219352,1
32124,463958,1
32124,642913,5
32124,680467,1
32124,755708,1
32124,819818,1
32124,958443,1
32124,1036903,1
32124,1089984,1
32124,1208104,1
32124,1365783,1
32124,1410249,2
32124,1434254,1
32124,1553129,1
32575,1119025,1
32587,563582,7
32587,976348,11
32587,1235823,8
32745,1110478,4
32956,726480,6
32956,1439677,1
33058,755708,1
33058,769058,1
33275,122259,1
33275,574836,1
33275,610222,14
33275,674099,1
33275,808567,2
33275,916025,2
33275,1104850,7
33275,1123723,1
33275,1129507,1
33275,1168101,1
33275,1307154,1
33275,1536310,2
33275,1573672,4
33312,1581986,1
33356,820526,1
33375,71989,3
33375,183368,1
33375,553916,1
33375,869232,1
33375,917204,1
33375,959604,1
33375,1333667,2
33387,595298,1
33387,652633,2
33387,902481,1
33495,130619,2
33495,312196,1
33495,1195475,12
33574,1319899,2
33742,908638,1
33951,518288,1
33951,603435,1
33951,1166535,1
33951,1195011,1
33951,1262802,3
33951,1304146,1
33951,1431615,5
33951,1507424,1
34086,100642,5
34086,155882,15
34086,219250,5
34086,275948,2
34086,394567,37
34086,485405,7
34086,1161457,1
34086,1393403,1
34749,1377623,1
34749,1432415,4
34783,1017907,1
34783,1018063,1
34783,1437830,1
35015,470696,2
35015,992424,1
35015,1452189,1
35015,1579275,2
35225,638890,3
35240,1588029,2
35651,475362,1
35651,1256486,1
35652,879248,2
36179,13927,1
36179,37683,1
36179,89809,5
36179,369484,1
36179,380769,1
36179,450009,1
36179,501124,3
36179,507439,1
36179,626204,2
36179,702349,4
36179,802879,1
36179,930418,1
36179,1147245,2
36179,1164376,2
36179,1269852,1
36179,1338279,1
36179,1490987,1
36179,1545144,1
36324,131417,2
36324,154709,1
36324,166486,10
36324,211367,3
36324,451032,1
36324,466111,3
36324,515372,3
36324,591519,8
36324,794595,24
36324,929993,9
36324,968394,1
36324,1002338,13
36324,1029510,4
36324,1089785,7
36324,1097960,3
36324,1142180,2
36324,1147201,6
36324,1152664,1
36324,1191343,9
36324,1214443,5
36324,1252174,2
36324,1280763,13
36324,1325055,15
36324,1417595,1
36324,1477093,9
36324,1483628,5
36324,1507757,10
36625,1207029,3
37023,1362548,1
37023,1535686,2
37107,1214443,6
37683,194682,1
37683,422239,1
37683,981910,1
37683,1385163,1
37683,1490987,1
38697,94219,3
38697,184606,4
38697,325683,1
38697,919780,6
38697,1229194,1
38697,1331735,4
38697,1505478,2
38874,171221,1
38874,441906,1
38956,162989,1
38956,257960,1
38956,587258,15
38956,711072,1
38956,936104,118
39063,189335,1
39063,326982,3
39063,610714,1
39063,794500,1
39063,1129698,1
39063,1481784,79
39485,123251,3
39485,1443827,2
39507,14704,4
39507,585303,1
39507,1044655,1
39507,1081805,3
39507,1226956,2
39543,514196,6
39543,579655,1
39543,842338,1
39543,1124423,1
39543,1258029,5
39543,1350468,1
39557,185968,1
39557,282589,1
39557,506298,4
39557,586057,1
39557,617185,1
39557,661368,2
39557,673627,5
39557,798400,3
39557,1059332,1
39557,1301915,1
39557,1384128,1
39557,1467275,1
39557,1543079,2
39564,53080,1
39564,61114,4
39564,71456,2
39564,102647,1
39564,130619,1
39564,204912,1
39564,312652,25
39564,375514,4
39564,382361,4
39564,514789,1
39564,515372,2
39564,835707,1
39564,905220,5
39564,911728,4
39564,953034,2
39564,1009553,9
39564,1029510,4
39564,1042645,4
39564,1061894,4
39564,1080642,2
39564,1191343,4
39564,1305752,3
39564,1376363,3
39564,1500798,15
39564,1557742,1
39564,1564137,6
39648,838593,1
39648,894304,1
39648,932801,2
39648,1123922,1
39648,1235071,5
39648,1259990,2
39648,1517016,1
39977,828225,2
40097,118131,1
40314,288611,1
40314,991151,1
40668,1029510,1
40717,1230308,1
40717,1487096,1
40761,630362,3
40761,1405779,21
40838,658067,1
40887,1298264,6
40909,30984,3
40909,904983,1
41599,225067,5
42102,67838,1
42102,281044,10
42102,460914,4
42102,622014,1
42102,711072,2
42102,711572,1
42102,734071,3
42102,875850,1
42102,1114281,1
42186,1308299,2
42186,1486442,1
42518,1074630,1
42847,47880,6
42847,110113,1
42847,251668,1
42847,310727,1
42847,484291,1
42847,633565,2
42847,661039,1
42847,725147,1
42847,1037001,1
42847,1064485,1
42847,1392546,2
42847,1534549,1
42863,462419,2
43011,262837,4
43316,192922,2
43316,567301,1
43316,1154444,1
43791,799381,3
43791,968446,1
43840,67892,1
44246,241164,1
44246,1192531,3
44246,1565592,2
44633,786644,2
44633,1447173,6
44633,1579275,4
44867,676019,8
44870,218243,10
44921,749812,105
44933,253088,1
44933,419924,3
44933,431712,1
44933,967366,3
44933,1017993,4
44933,1178719,1
44933,1441327,2
44933,1543115,1
45193,1124000,1
45371,603435,1
45371,1244245,1
45385,85281,1
45385,714780,10
45495,1253529,1
45667,153152,2
45667,863998,1
45667,1037398,1
45667,1450856,2
45759,233507,1
45759,890066,1
45759,925819,1
45876,427265,1
45961,445508,1
45961,564484,8
46273,683264,1
46273,895097,1
46273,1093548,1
46665,981295,1
46665,1353369,3
46682,767624,1
46682,1287583,1
47033,837105,1
47033,1584422,1
47231,229835,2
47231,506744,1
47231,528517,1
47231,835152,1
47231,866839,1
47231,979939,3
47231,1076791,1
47231,1201964,2
47231,1372958,7
47231,1374428,1
47641,986479,3
47641,1340854,4
47880,42847,4
47880,108348,1
47880,110113,3
47880,295723,1
47880,418661,1
47880,633565,3
47880,1064485,1
47880,1122202,1
47880,1450931,1
47880,1456146,5
47935,783073,1
47935,979432,1
47935,1584891,9
48467,333213,4
49161,618544,2
49161,895943,1
49544,561028,1
49544,906046,3
49821,968938,1
50009,50009,3
50009,143342,1
50009,316227,1
50009,474291,3
50009,492627,26
50009,533834,1
50009,778619,4
50009,851177,1
50009,924603,1
50009,985565,2
50009,1305656,1
50009,1432117,1
50009,1480567,2
50487,211894,1
50487,1022908,18
50487,1562667,1
50677,675137,3
50677,1011493,3
50677,1042645,3
50677,1527123,1
50995,850831,1
50995,1478022,1
51429,84899,6
51429,215044,3
51429,251668,1
51429,314558,3
51429,484291,1
51429,487654,1
51429,494631,3
51429,519179,2
51429,544098,2
51429,552131,1
51429,566294,4
51429,661039,1
51429,832181,2
51429,835174,1
51429,835624,4
51429,965729,2
51429,1122202,1
51429,1124813,1
51429,1133460,1
51429,1152294,2
51429,1249082,2
51429,1262047,1
51429,1458781,2
51429,1508286,4
51429,1534549,3
51429,1558643,1
51926,230790,3
52497,274947,2
52678,82538,1
52678,853692,1
52678,973387,1
52897,527605,1
53080,39564,2
53080,608654,4
53080,638098,10
53080,848283,4
53080,1244696,1
53485,1547196,1
53740,439584,1
53740,574971,1
53740,779117,10
53903,91134,1
53903,309918,1
53903,1061894,1
53903,1305752,1
54554,393823,4
54554,463055,2
54554,494631,3
54554,973079,1
54554,1422026,1
54963,897348,1
54987,54987,1
54987,261979,8
54987,291094,11
54987,291252,17
54987,299343,3
54987,319142,8
54987,485402,3
54987,486969,7
54987,661498,14
54987,772728,4
54987,796273,1
54987,1067883,3
54987,1080037,6
54987,1139535,6
54987,1264088,3
54987,1351032,1
54987,1461681,168
55136,360197,1
55612,167183,1
55612,1365684,1
55733,364756,1
55733,674380,3
55733,701482,14
55733,817140,1
55733,1230308,1
55733,1487096,2
55747,163957,2
55747,254834,1
55747,952816,4
56388,322663,3
56443,141805,1
56443,696090,1
56443,987150,1
56627,56627,12
56627,126769,1
56627,225232,5
56627,376252,1
56627,726311,2
56627,775778,39
56627,808664,3
56627,1070592,12
56627,1158965,2
56627,1490757,23
56627,1506154,9
56627,1579275,3
56764,719428,1
57011,1166589,7
57051,759721,3
57051,968394,4
57051,1179882,11
57051,1325055,1
57354,910944,2
57354,1033312,1
57354,1194679,2
57460,278611,1
57460,290348,3
57460,518038,1
57460,817659,1
57460,1110743,1
57460,1303144,1
57460,1522163,1
57460,1532125,2
57460,1574569,1
57466,201378,75
57466,1155695,3
57499,962464,3
57588,225296,4
57588,1417564,1
57853,60743,4
58174,986479,2
58174,1254969,2
58341,275,3
58341,471254,2
58341,801601,2
58549,18426,2
58549,475615,3
58549,802754,2
58549,1285825,3
59079,759721,27
59210,173352,1
59210,939117,1
59210,1024792,2
59210,1067542,2
59210,1463983,5
59252,97645,1
60134,79834,1
60134,924378,1
60334,168857,2
60334,212065,3
60334,264978,1
60334,436694,33
60334,1415137,1
60334,1498072,1
60640,1104256,4
60743,57853,8
60743,1033876,1
60832,471404,1
60832,505627,1
60832,1137982,2
60832,1235071,2
60833,202346,3
60833,551127,1
60833,963188,1
60833,1450856,1
61114,252190,1
61114,284234,5
61114,448169,3
61114,574656,1
61114,731019,1
61114,934002,1
61301,1312458,2
61301,1467726,1
61301,1563173,5
61511,423189,1
61511,470130,1
61511,522251,1
61511,709237,1
61511,963474,132
61511,1363155,1
61524,933638,2
61893,359744,30
61893,392503,1
61893,762266,4
61893,911728,2
61893,953034,1
61893,1009553,3
61893,1065888,1
61893,1077379,2
61893,1145640,1
61893,1156709,2
61893,1199280,4
61893,1500798,25
62237,6288,4
62237,9218,1
62237,12345,2
62237,122259,2
62237,150855,2
62237,167183,3
62237,247517,2
62237,265690,2
62237,349748,4
62237,407534,3
62237,408227,2
62237,453089,2
62237,463792,4
62237,467895,2
62237,566064,2
62237,577168,2
62237,674589,2
62237,681715,2
62237,719200,2
62237,726305,2
62237,753897,3
62237,762585,3
62237,858189,1
62237,901849,6
62237,912929,4
62237,933638,1
62237,949803,3
62237,951547,1
62237,952991,2
62237,1043625,2
62237,1049977,2
62237,1056033,2
62237,1087389,2
62237,1087541,2
62237,1102087,2
62237,1104850,1
62237,1144898,2
62237,1145325,2
62237,1156818,2
62237,1183297,2
62237,1249504,2
62237,1282055,4
62237,1307154,2
62237,1342039,2
62237,1435652,2
62237,1465186,2
62237,1496427,2
62237,1533887,2
62237,1580526,2
62280,1221026,1
62280,1358215,5
62309,438392,1
62309,861173,3
62309,866864,4
62309,1013493,1
62309,1283059,1
62345,1221690,1
62345,1485094,1
62893,1534,2
62893,393020,1
62893,419142,13
62984,234059,3
62984,373530,1
62984,1332352,1
62984,1467726,3
62984,1540292,1
62984,1563173,5
63076,407666,2
63076,1265273,1
63918,787055,4
63918,849018,1
63918,912241,2
63918,1134686,2
63936,620072,3
63936,1302722,1
64627,887179,1
64627,1101030,2
64627,1162409,2
64757,568641,1
64920,1074630,1
64925,702349,1
65086,30475,2
65086,1145188,2
65086,1324051,2
65832,31531,1
65929,348378,2
65929,751278,1
66069,110549,1
66069,600047,1
66274,369919,1
66274,840284,1
66274,1159934,3
66436,543163,1
66483,1121670,3
66492,1224215,11
66644,211367,1
66644,446920,1
66644,873429,1
66644,983260,1
66644,1061196,1
66644,1273553,3
66811,317292,1
66968,282104,1
66968,321752,1
66968,1012218,2
66968,1126771,1
66968,1443358,2
67227,1031688,1
67376,589463,1
67376,838593,14
67766,393514,2
67838,258268,1
67838,711072,2
67838,738111,1
67838,889635,1
67838,1322675,1
67838,1507960,1
67892,43840,1
67892,114310,2
67892,792671,1
67892,1325617,7
67921,1035911,59
68131,69348,1
68131,615709,2
68206,1201920,1
68348,345209,2
68348,570348,1
68348,570703,1
68348,955567,1
68348,1055153,21
68468,720588,1
68468,749101,4
68468,863998,1
68468,1137240,4
68468,1326970,1
69099,1025998,4
69348,68131,1
69348,165408,6
69348,1409344,2
70158,221277,1
70279,985575,3
70402,154709,1
70402,179092,14
70402,910283,2
70402,917166,2
70402,918747,1
70402,1086214,1
70402,1100692,1
70448,375611,15
70448,1378457,1
70567,223389,1
70567,792484,1
70567,1377464,2
70597,446754,1
70887,179555,6
70887,1136180,3
71172,709027,1
71172,937573,2
71281,684060,2
71281,917282,1
71281,991291,1
71456,39564,1
71456,333811,1
71456,393456,1
71456,398738,5
71456,424070,5
71456,485405,1
71456,538557,1
71456,574656,2
71456,617423,6
71456,630362,1
71456,644347,1
71456,683269,7
71456,808664,2
71456,825532,1
71456,867264,2
71456,911728,2
71456,929993,2
71456,965196,1
71456,1042645,5
71456,1054749,1
71456,1122952,5
71456,1153376,1
71456,1191343,3
71456,1280763,2
71456,1370331,1
71456,1376363,2
71456,1417595,6
71456,1456079,3
71456,1475615,1
71456,1507757,4
71555,566064,1
71555,695864,1
71555,753897,2
71555,933638,1
71555,965981,1
71555,1013585,1
71555,1077378,1
71555,1308071,1
71555,1556398,5
71989,33375,2
71989,288763,11
71989,823144,7
72187,1285825,1
72281,244612,1
72281,998790,9
72552,8133,2
72552,8718,4
72552,107723,2
72552,116779,3
72552,217803,1
72552,229877,2
72552,265413,1
72552,362045,2
72552,393456,2
72552,467765,2
72552,701482,2
72552,920935,1
72552,1089984,3
72552,1329145,2
72552,1340074,2
72552,1376363,2
72552,1553129,4
72951,72951,1
72951,439035,2
72951,869333,6
72951,1249725,2
72951,1272332,3
73539,98116,3
73539,585262,1
73539,1300718,22
73539,1543217,1
73557,1317514,2
73634,817067,1
73924,1087541,2
74454,155323,3
74454,164986,10
74454,240293,1
74454,765428,2
74454,1097976,2
74454,1188047,1
74454,1323709,10
74454,1566616,66
74710,996789,1
74710,1253030,3
75000,156738,1
75000,426611,2
75000,806184,2
75000,836471,1
75082,439035,10
75082,931859,2
75835,12775,5
75835,230221,2
75835,892881,2
75835,1151825,1
75950,610222,1
76109,1274117,1
76400,979304,8
76737,1319330,2
77151,1102087,1
77151,1168101,3
77151,1299696,1
77151,1432031,1
77291,308034,2
77291,811568,9
78172,436255,9
78306,168751,1
78306,305833,31
78378,190971,1
78450,84291,2
78450,90645,4
78450,849784,1
78450,1324691,1
78450,1367825,2
78709,766207,1
78709,965653,2
78709,1016346,1
78880,258361,1
78880,607634,2
78880,822251,1
78880,1156983,1
78957,272962,2
79219,801735,1
79473,155385,2
79834,60134,1
79834,765367,2
80268,776343,1
80358,1373735,9
80533,719443,4
80533,882371,1
80533,991689,3
80533,1153376,1
80533,1252174,1
80533,1346514,11
80533,1581883,2
80590,360643,1
80590,566377,1
80590,600716,6
80590,1032386,2
